artist,count
Ryan Adams,12509
BtoB,12493
Mat Kearney,12489
Tom Jones,12475
Edward Maya,12465
The Animals,12462
Rewind,12457
Asia,12450
Jonas Brothers,12440
Slash,12440
Procol Harum,12438
Donell Jones,12433
Squeeze,12419
A Great Big World,12416
Robyn,12399
Sledgehammer,12398
The Ting Tings,12395
Stevie Ray Vaughan,12394
PJ Harvey,12386
Status Quo,12375
Paul Hardcastle,12365
SISTAR,12363
Ricardo Arjona,12362
Judika,12356
Mark Schultz,12350
Labrinth,12348
井上陽水,12337
Phantogram,12333
Apocalyptica,12315
Cry,12292
Do As Infinity,12284
We the Kings,12280
Pusha T,12274
Carly Simon,12273
Jamie Foxx,12272
Mine,12263
Cold,12260
Tegan and Sara,12260
Girls Aloud,12251
Fourplay,12249
Faithless,12247
August Alsina,12239
Gary Numan,12236
Miike Snow,12236
Everything but the Girl,12224
ã‚„ãªãŽãªãŽ,12211
Atlantic Starr,12206
Boulevard of Broken Dreams,12179
John Coltrane,12153
10cc,12127
Pop Evil,12118
Ungu,12116
Dokken,12113
Lenka,12109
Billy Squier,12090
Enter Shikari,12085
Thompson Square,12081
Temple of the Dog,12050
Anberlin,12048
Gloria,12039
Maná,12031
Cocco,12021
Travis Tritt,12004
中川翔子,11984
My Morning Jacket,11971
The Red Jumpsuit Apparatus,11966
Sanctuary,11964
Ray,11957
Melanie Fiona,11956
Sounds From the Ground,11951
Paradise Lost,11947
宮野真守,11935
Silverchair,11929
Francesca Battistelli,11922
Robert Plant,11916
キリンジ,11895
Shelter,11895
La Roux,11890
Glenn Miller,11885
Michael Franks,11876
Maxi Priest,11869
Guy,11858
Zero 7,11849
Umbrella,11835
米津玄師,11834
Atlas Genius,11832
The Flaming Lips,11831
Cheryl Cole,11824
Machine Head,11804
Steve Roach,11802
Frank Turner,11794
Jesse McCartney,11790
Spin Doctors,11779
Barry Manilow,11770
Danzig,11766
Group 1 Crew,11762
Black Rebel Motorcycle Club,11758
Twista,11756
Sugababes,11751
Daniel Powter,11740
2 Unlimited,11740
Mudvayne,11735
KT Tunstall,11734
Ultravox,11732
福山雅治,11703
Extremoduro,11699
John Conlee,11696
